id;name;elementTypes;baseStats;moves
1;Chairmander;FIRE,NORMAL;120,100,100,100,100,100;1,2,7,10
2;Squirtod;WATER,NORMAL;120,100,100,100,100,100;1,3,6,11
3;Burbasaur;GRASS,NORMAL;120,100,100,100,100,100;1,4,8,12
4;Kancheel;NORMAL;150,80,80,80,80,150;34,44,13,1
5;Boarusa;NORMAL;150,120,80,120,80,70;17,18,19,20
6;Harimaung;FIRE;100,140,70,70,120,130;61,26,25,14
7;Dhugong;WATER;90,90,120,95,115,50;70,48,15,6
8;Rafflesaur;GRASS;150,50,200,75,90,60;32,55,9,12
9;Pertamega;FIRE,WATER;100,40,80,140,80,150;35,39,30,31
10;Glamorgen;WATER,GRASS;80,170,100,80,120,40;21,22,23,24
11;Borneon;FIRE,GRASS;75,100,135,50,50,90;50,45,49,2
12;God-Sidiq;NORMAL;100,120,120,120,120,120;47,33,13,40
13;Polkanion;FIRE,WATER;150,50,110,80,110,80;40,41,48,23
14;Aku Kapapa;WATER;90,60,65,120,105,100;23,31,42,35
15;Chelfang;FIRE,GRASS;95,80,80,110,120,103;3,6,11,15
16;TuanMal;FIRE,NORMAL;100,160,40,50,80,140;2,4,7,8
17;Bung Lon;WATER,NORMAL;120,125,100,125,100,30;41,21,23,68
18;Pho Chong;GRASS;70,150,50,150,50,160;57,66,67,70
19;Gendruwowow;FIRE;150,50,100,50,100,150;62,64,36,42
20;Horrorpotamus;WATER;160,150,60,150,75,80;41,61,9,11
